CustomerID,Lookalikes
C0001,"[('C0152', 0.9956), ('C0011', 0.9865), ('C0107', 0.974)]"
C0002,"[('C0142', 0.9875), ('C0097', 0.9366), ('C0159', 0.9311)]"
C0003,"[('C0025', 0.9679), ('C0174', 0.9508), ('C0031', 0.9479)]"
C0004,"[('C0108', 0.979), ('C0165', 0.971), ('C0012', 0.9709)]"
C0005,"[('C0140', 0.983), ('C0186', 0.9803), ('C0123', 0.9782)]"
C0006,"[('C0158', 0.9554), ('C0107', 0.944), ('C0187', 0.9269)]"
C0007,"[('C0115', 0.9689), ('C0186', 0.9514), ('C0078', 0.9456)]"
C0008,"[('C0109', 0.9788), ('C0098', 0.9412), ('C0194', 0.9222)]"
C0009,"[('C0061', 0.9712), ('C0132', 0.9608), ('C0198', 0.944)]"
C0010,"[('C0062', 0.9391), ('C0060', 0.934), ('C0121', 0.9238)]"
C0011,"[('C0107', 0.9948), ('C0001', 0.9865), ('C0152', 0.9725)]"
C0012,"[('C0108', 0.9928), ('C0004', 0.9709), ('C0087', 0.956)]"
C0013,"[('C0099', 0.9855), ('C0087', 0.9839), ('C0155', 0.9795)]"
C0014,"[('C0063', 0.977), ('C0060', 0.9521), ('C0062', 0.947)]"
C0015,"[('C0131', 0.9703), ('C0058', 0.9694), ('C0042', 0.9342)]"
C0016,"[('C0079', 0.9675), ('C0185', 0.9371), ('C0026', 0.8988)]"
C0017,"[('C0075', 0.9801), ('C0041', 0.9409), ('C0053', 0.9297)]"
C0018,"[('C0183', 0.9278), ('C0067', 0.8465), ('C0026', 0.8464)]"
C0019,"[('C0069', 0.9324), ('C0199', 0.9207), ('C0172', 0.8724)]"
C0020,"[('C0058', 0.9518), ('C0131', 0.9407), ('C0015', 0.9328)]"
